mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_algorithm,param_n_neighbors,param_weights,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.113397121,0.038608644,0.386277294,0.114322058,brute,45,uniform,"OrderedDict({'algorithm': 'brute', 'n_neighbors': 45, 'weights': 'uniform'})",0.92875,0.94875,0.92625,0.9275,0.9375,0.93375,0.008477912,265
0.612175512,0.040399258,7.877766562,0.659212616,kd_tree,36,uniform,"OrderedDict({'algorithm': 'kd_tree', 'n_neighbors': 36, 'weights': 'uniform'})",0.935,0.94625,0.93125,0.9275,0.9375,0.9355,0.006354133,222
0.597943449,0.095124755,7.021664429,2.153349226,kd_tree,44,uniform,"OrderedDict({'algorithm': 'kd_tree', 'n_neighbors': 44, 'weights': 'uniform'})",0.93,0.94875,0.92625,0.9275,0.93875,0.93425,0.008463155,259
0.107461023,0.017860496,0.327674007,0.04608406,brute,12,uniform,"OrderedDict({'algorithm': 'brute', 'n_neighbors': 12, 'weights': 'uniform'})",0.93875,0.9625,0.945,0.93875,0.94875,0.94675,0.008753571,26
0.401361322,0.101399552,7.239789152,1.037053185,ball_tree,16,uniform,"OrderedDict({'algorithm': 'ball_tree', 'n_neighbors': 16, 'weights': 'uniform'})",0.94125,0.955,0.945,0.935,0.9475,0.94475,0.00663325,73
0.161109161,0.044438047,0.366802788,0.049465285,auto,17,uniform,"OrderedDict({'algorithm': 'auto', 'n_neighbors': 17, 'weights': 'uniform'})",0.94375,0.95125,0.9425,0.9375,0.94375,0.94375,0.004401704,84
0.144194984,0.033567473,0.29072566,0.069429046,auto,21,uniform,"OrderedDict({'algorithm': 'auto', 'n_neighbors': 21, 'weights': 'uniform'})",0.93875,0.95125,0.93875,0.93625,0.95,0.943,0.00630476,96
0.573939466,0.068198452,7.841766024,0.69075802,kd_tree,40,uniform,"OrderedDict({'algorithm': 'kd_tree', 'n_neighbors': 40, 'weights': 'uniform'})",0.93375,0.94875,0.93125,0.9275,0.93375,0.935,0.007245688,235
0.126904917,0.0275319,0.28249321,0.073959715,auto,29,distance,"OrderedDict({'algorithm': 'auto', 'n_neighbors': 29, 'weights': 'distance'})",0.94375,0.95125,0.93625,0.9325,0.945,0.94175,0.006642665,120
0.537895203,0.040269771,17.30491738,0.49583395,kd_tree,10,uniform,"OrderedDict({'algorithm': 'kd_tree', 'n_neighbors': 10, 'weights': 'uniform'})",0.93625,0.95125,0.94,0.93625,0.945,0.94175,0.005733672,120
0.111377239,0.034250012,0.297873926,0.022363168,brute,20,distance,"OrderedDict({'algorithm': 'brute', 'n_neighbors': 20, 'weights': 'distance'})",0.945,0.9525,0.9425,0.94,0.94875,0.94575,0.004444097,50
0.601728678,0.057275423,17.00527678,0.462297346,kd_tree,19,distance,"OrderedDict({'algorithm': 'kd_tree', 'n_neighbors': 19, 'weights': 'distance'})",0.945,0.9525,0.94,0.94375,0.95,0.94625,0.004472136,34
0.588544464,0.055498352,17.46864309,0.452620353,kd_tree,16,distance,"OrderedDict({'algorithm': 'kd_tree', 'n_neighbors': 16, 'weights': 'distance'})",0.945,0.95625,0.94875,0.93875,0.95,0.94775,0.00577711,9
0.504662371,0.053727707,16.15655923,1.769413336,kd_tree,14,uniform,"OrderedDict({'algorithm': 'kd_tree', 'n_neighbors': 14, 'weights': 'uniform'})",0.94,0.955,0.9475,0.93875,0.94875,0.946,0.005989574,38
0.121506977,0.07862414,0.199995565,0.028521906,auto,11,uniform,"OrderedDict({'algorithm': 'auto', 'n_neighbors': 11, 'weights': 'uniform'})",0.94,0.955,0.94625,0.94125,0.9475,0.946,0.005326819,38
0.558862114,0.053790851,17.22333632,0.442506916,kd_tree,19,uniform,"OrderedDict({'algorithm': 'kd_tree', 'n_neighbors': 19, 'weights': 'uniform'})",0.9425,0.95125,0.93875,0.93875,0.94375,0.943,0.004582576,100
0.504769945,0.059122216,16.16176553,1.388885134,kd_tree,12,uniform,"OrderedDict({'algorithm': 'kd_tree', 'n_neighbors': 12, 'weights': 'uniform'})",0.93875,0.9625,0.945,0.93875,0.94875,0.94675,0.008753571,26
0.511904669,0.0773622,16.98948288,0.724964933,kd_tree,17,distance,"OrderedDict({'algorithm': 'kd_tree', 'n_neighbors': 17, 'weights': 'distance'})",0.94625,0.95375,0.94625,0.94,0.94625,0.9465,0.004358899,30
0.087189198,0.034434198,0.201909161,0.025950987,brute,9,uniform,"OrderedDict({'algorithm': 'brute', 'n_neighbors': 9, 'weights': 'uniform'})",0.9425,0.94375,0.94125,0.93625,0.94125,0.941,0.00254951,140
0.102293301,0.036857852,0.450294399,0.085864494,auto,23,distance,"OrderedDict({'algorithm': 'auto', 'n_neighbors': 23, 'weights': 'distance'})",0.94125,0.9525,0.94125,0.93625,0.9475,0.94375,0.005645795,84
0.08892684,0.011831278,0.418660784,0.076236157,brute,13,distance,"OrderedDict({'algorithm': 'brute', 'n_neighbors': 13, 'weights': 'distance'})",0.9425,0.96,0.94625,0.9375,0.95,0.94725,0.007599342,21
0.077623129,0.009066492,0.464652538,0.024726628,auto,27,distance,"OrderedDict({'algorithm': 'auto', 'n_neighbors': 27, 'weights': 'distance'})",0.9425,0.95125,0.93625,0.93375,0.9425,0.94125,0.006072479,133
0.103921509,0.018714021,0.343604517,0.088026227,auto,25,distance,"OrderedDict({'algorithm': 'auto', 'n_neighbors': 25, 'weights': 'distance'})",0.9425,0.9525,0.94,0.93375,0.94375,0.9425,0.006072479,106
0.112347078,0.013558892,0.424874163,0.055706804,auto,39,distance,"OrderedDict({'algorithm': 'auto', 'n_neighbors': 39, 'weights': 'distance'})",0.93625,0.95125,0.93125,0.93125,0.94125,0.93825,0.007483315,181
0.136903238,0.050808972,0.411512375,0.040617814,auto,24,distance,"OrderedDict({'algorithm': 'auto', 'n_neighbors': 24, 'weights': 'distance'})",0.9425,0.9525,0.94125,0.935,0.9475,0.94375,0.00591608,84
0.135595894,0.039054771,0.322234106,0.073354068,auto,26,distance,"OrderedDict({'algorithm': 'auto', 'n_neighbors': 26, 'weights': 'distance'})",0.9425,0.9525,0.9375,0.9325,0.94375,0.94175,0.006689544,120
0.147078705,0.053576431,0.379019356,0.049519815,auto,41,uniform,"OrderedDict({'algorithm': 'auto', 'n_neighbors': 41, 'weights': 'uniform'})",0.93375,0.9475,0.93125,0.92875,0.9325,0.93475,0.00658597,244
0.106766033,0.025760306,0.369181156,0.044765677,auto,38,uniform,"OrderedDict({'algorithm': 'auto', 'n_neighbors': 38, 'weights': 'uniform'})",0.93375,0.94875,0.93125,0.92875,0.9375,0.936,0.007,215
0.158075953,0.037368064,0.333337593,0.039651195,auto,40,uniform,"OrderedDict({'algorithm': 'auto', 'n_neighbors': 40, 'weights': 'uniform'})",0.93375,0.94875,0.93125,0.9275,0.93375,0.935,0.007245688,235
0.671853018,0.049574141,14.76620779,0.6865716,kd_tree,9,distance,"OrderedDict({'algorithm': 'kd_tree', 'n_neighbors': 9, 'weights': 'distance'})",0.93875,0.94375,0.9425,0.9375,0.9475,0.942,0.003588175,109
0.08768239,0.004638238,0.4233778,0.070029137,brute,43,distance,"OrderedDict({'algorithm': 'brute', 'n_neighbors': 43, 'weights': 'distance'})",0.935,0.94875,0.92875,0.92875,0.9375,0.93575,0.007356969,220
0.120639992,0.039479671,0.405449772,0.039082162,auto,8,distance,"OrderedDict({'algorithm': 'auto', 'n_neighbors': 8, 'weights': 'distance'})",0.93875,0.94375,0.94375,0.93375,0.94,0.94,0.003708099,160
0.585830784,0.081583093,14.05210767,0.696389621,ball_tree,30,distance,"OrderedDict({'algorithm': 'ball_tree', 'n_neighbors': 30, 'weights': 'distance'})",0.93875,0.9525,0.93875,0.9325,0.9425,0.941,0.00658597,140
0.14048543,0.048218344,0.426984215,0.101639696,brute,15,distance,"OrderedDict({'algorithm': 'brute', 'n_neighbors': 15, 'weights': 'distance'})",0.94,0.95625,0.94875,0.94,0.9525,0.9475,0.006566963,13
0.572642422,0.120302556,13.73856168,0.773139615,ball_tree,30,uniform,"OrderedDict({'algorithm': 'ball_tree', 'n_neighbors': 30, 'weights': 'uniform'})",0.93625,0.95125,0.9375,0.93125,0.93875,0.939,0.00663325,172
0.110070896,0.031925469,0.376923609,0.057535891,auto,43,uniform,"OrderedDict({'algorithm': 'auto', 'n_neighbors': 43, 'weights': 'uniform'})",0.9325,0.94875,0.9275,0.92875,0.93625,0.93475,0.007640353,244
0.585548735,0.08068222,14.20254264,0.757440351,ball_tree,38,distance,"OrderedDict({'algorithm': 'ball_tree', 'n_neighbors': 38, 'weights': 'distance'})",0.935,0.95,0.9325,0.93,0.94,0.9375,0.007071068,195
0.499569654,0.089599258,13.57300653,0.525131815,ball_tree,48,uniform,"OrderedDict({'algorithm': 'ball_tree', 'n_neighbors': 48, 'weights': 'uniform'})",0.93,0.94625,0.92625,0.9275,0.93625,0.93325,0.007356969,267
0.519403315,0.06525321,14.62254224,0.177728554,ball_tree,47,uniform,"OrderedDict({'algorithm': 'ball_tree', 'n_neighbors': 47, 'weights': 'uniform'})",0.93125,0.94625,0.9275,0.9275,0.93875,0.93425,0.00727152,259
0.602634573,0.081913487,16.93077097,0.516878049,kd_tree,24,uniform,"OrderedDict({'algorithm': 'kd_tree', 'n_neighbors': 24, 'weights': 'uniform'})",0.94,0.95125,0.93875,0.93375,0.9425,0.94125,0.005755432,133
0.081737185,0.004665661,0.323191595,0.065535996,brute,24,uniform,"OrderedDict({'algorithm': 'brute', 'n_neighbors': 24, 'weights': 'uniform'})",0.94,0.95125,0.93875,0.93375,0.9425,0.94125,0.005755432,133
0.100793695,0.025756503,0.378493595,0.047360897,auto,28,uniform,"OrderedDict({'algorithm': 'auto', 'n_neighbors': 28, 'weights': 'uniform'})",0.94125,0.94875,0.93625,0.93125,0.93875,0.93925,0.005787918,163
0.53264184,0.079701895,16.25631642,0.900133086,kd_tree,22,uniform,"OrderedDict({'algorithm': 'kd_tree', 'n_neighbors': 22, 'weights': 'uniform'})",0.9375,0.95125,0.93875,0.93625,0.94625,0.942,0.005787918,109
0.485720682,0.069372997,15.40292077,0.793028496,ball_tree,34,distance,"OrderedDict({'algorithm': 'ball_tree', 'n_neighbors': 34, 'weights': 'distance'})",0.94,0.94875,0.935,0.93125,0.94125,0.93925,0.005947689,163
0.128248501,0.042994264,0.296903229,0.069071426,auto,13,uniform,"OrderedDict({'algorithm': 'auto', 'n_neighbors': 13, 'weights': 'uniform'})",0.94125,0.9575,0.945,0.93875,0.9475,0.946,0.006490377,46
0.509873819,0.120273714,16.27904568,1.35590273,ball_tree,35,uniform,"OrderedDict({'algorithm': 'ball_tree', 'n_neighbors': 35, 'weights': 'uniform'})",0.93625,0.9475,0.93125,0.9275,0.9375,0.936,0.006773109,215
0.575526524,0.130616051,16.55667691,0.653089342,ball_tree,19,distance,"OrderedDict({'algorithm': 'ball_tree', 'n_neighbors': 19, 'weights': 'distance'})",0.945,0.9525,0.94,0.94375,0.95,0.94625,0.004472136,34
0.484139395,0.020805329,16.067665,1.543854827,ball_tree,11,uniform,"OrderedDict({'algorithm': 'ball_tree', 'n_neighbors': 11, 'weights': 'uniform'})",0.94,0.955,0.94625,0.94125,0.9475,0.946,0.005326819,38
0.60031476,0.075233385,16.49213324,0.737514463,kd_tree,22,distance,"OrderedDict({'algorithm': 'kd_tree', 'n_neighbors': 22, 'weights': 'distance'})",0.94125,0.9525,0.93875,0.93875,0.94875,0.944,0.005612486,76
0.55902977,0.038697004,6.843901014,0.284469461,kd_tree,3,distance,"OrderedDict({'algorithm': 'kd_tree', 'n_neighbors': 3, 'weights': 'distance'})",0.90125,0.90625,0.90125,0.88875,0.91,0.9015,0.00717635,290
0.095735216,0.003967995,0.33780632,0.026934746,auto,3,uniform,"OrderedDict({'algorithm': 'auto', 'n_neighbors': 3, 'weights': 'uniform'})",0.9175,0.9175,0.91375,0.9125,0.93125,0.9185,0.006680195,286
0.43624649,0.037633536,6.49982152,0.357371332,ball_tree,2,distance,"OrderedDict({'algorithm': 'ball_tree', 'n_neighbors': 2, 'weights': 'distance'})",0.865,0.88375,0.86375,0.84625,0.865,0.86475,0.011869077,293
0.52072525,0.046275944,6.798404312,0.224493501,kd_tree,2,distance,"OrderedDict({'algorithm': 'kd_tree', 'n_neighbors': 2, 'weights': 'distance'})",0.865,0.88375,0.86375,0.84625,0.865,0.86475,0.011869077,293
0.083479166,0.007051564,0.252323914,0.049772128,auto,2,distance,"OrderedDict({'algorithm': 'auto', 'n_neighbors': 2, 'weights': 'distance'})",0.865,0.88375,0.86375,0.84625,0.865,0.86475,0.011869077,293
0.083318424,0.015124328,0.21446619,0.017231214,brute,2,distance,"OrderedDict({'algorithm': 'brute', 'n_neighbors': 2, 'weights': 'distance'})",0.865,0.88375,0.86375,0.84625,0.865,0.86475,0.011869077,293
0.082358313,0.019283383,0.273802853,0.044833013,auto,3,distance,"OrderedDict({'algorithm': 'auto', 'n_neighbors': 3, 'weights': 'distance'})",0.90125,0.90625,0.90125,0.88875,0.91,0.9015,0.00717635,290
