mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_C,param_kernel,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
27.79074807,1.624473441,1.019783688,0.969344759,500306.0974,linear,"OrderedDict({'C': 500306.09743829037, 'kernel': 'linear'})",0.95625,0.9475,0.93875,0.95375,0.9625,0.95175,0.008085481,1
27.21974177,2.349889603,0.925501871,1.195547613,26640.56728,linear,"OrderedDict({'C': 26640.567277487327, 'kernel': 'linear'})",0.95625,0.9475,0.93875,0.95375,0.9625,0.95175,0.008085481,1
29.34110055,0.358715238,0.24966383,0.077821902,1330.309068,linear,"OrderedDict({'C': 1330.309067850909, 'kernel': 'linear'})",0.95625,0.9475,0.93875,0.95375,0.9625,0.95175,0.008085481,1
28.3839036,2.161750677,0.53890028,0.589596915,282884.4423,linear,"OrderedDict({'C': 282884.44225657836, 'kernel': 'linear'})",0.95625,0.9475,0.93875,0.95375,0.9625,0.95175,0.008085481,1
26.0079319,2.330130247,0.270455265,0.168809259,1322.849508,linear,"OrderedDict({'C': 1322.8495083635264, 'kernel': 'linear'})",0.95625,0.9475,0.93875,0.95375,0.9625,0.95175,0.008085481,1
26.19452763,0.576546631,0.215921783,0.041718855,202742.8788,linear,"OrderedDict({'C': 202742.87883067684, 'kernel': 'linear'})",0.95625,0.9475,0.93875,0.95375,0.9625,0.95175,0.008085481,1
27.59941859,0.770868669,0.270109558,0.181812434,569.2985361,linear,"OrderedDict({'C': 569.2985361260697, 'kernel': 'linear'})",0.95625,0.9475,0.93875,0.95375,0.9625,0.95175,0.008085481,1
27.35008698,0.76018262,0.259190512,0.113491074,139932.8595,linear,"OrderedDict({'C': 139932.8594851361, 'kernel': 'linear'})",0.95625,0.9475,0.93875,0.95375,0.9625,0.95175,0.008085481,1
27.38583765,1.06041141,0.454338217,0.254706781,129723.0906,linear,"OrderedDict({'C': 129723.09061031038, 'kernel': 'linear'})",0.95625,0.9475,0.93875,0.95375,0.9625,0.95175,0.008085481,1
26.63967996,1.784400714,0.36431613,0.133097415,564.9310152,linear,"OrderedDict({'C': 564.9310152135652, 'kernel': 'linear'})",0.95625,0.9475,0.93875,0.95375,0.9625,0.95175,0.008085481,1
27.41227069,1.439339282,0.202876043,0.05321737,1310.755459,linear,"OrderedDict({'C': 1310.7554588672242, 'kernel': 'linear'})",0.95625,0.9475,0.93875,0.95375,0.9625,0.95175,0.008085481,1
25.84113593,1.894029421,0.284167147,0.144021175,1307.506701,linear,"OrderedDict({'C': 1307.5067011059484, 'kernel': 'linear'})",0.95625,0.9475,0.93875,0.95375,0.9625,0.95175,0.008085481,1
25.96496091,2.484663261,0.666841173,0.727467313,1304.331506,linear,"OrderedDict({'C': 1304.3315057065208, 'kernel': 'linear'})",0.95625,0.9475,0.93875,0.95375,0.9625,0.95175,0.008085481,1
27.58078876,0.750694336,0.25005126,0.06581008,99112.6479,linear,"OrderedDict({'C': 99112.64789913359, 'kernel': 'linear'})",0.95625,0.9475,0.93875,0.95375,0.9625,0.95175,0.008085481,1
23.97877526,1.953074774,0.277222443,0.183093663,99344.71738,linear,"OrderedDict({'C': 99344.71738161167, 'kernel': 'linear'})",0.95625,0.9475,0.93875,0.95375,0.9625,0.95175,0.008085481,1
25.21602898,0.932788095,0.185343266,0.063449376,94836.04861,linear,"OrderedDict({'C': 94836.04860980435, 'kernel': 'linear'})",0.95625,0.9475,0.93875,0.95375,0.9625,0.95175,0.008085481,1
23.22903647,2.583370163,0.19938941,0.066420276,557.4903289,linear,"OrderedDict({'C': 557.4903289249623, 'kernel': 'linear'})",0.95625,0.9475,0.93875,0.95375,0.9625,0.95175,0.008085481,1
22.11915402,4.924231577,0.912291861,1.29776393,88036.92656,linear,"OrderedDict({'C': 88036.92655797029, 'kernel': 'linear'})",0.95625,0.9475,0.93875,0.95375,0.9625,0.95175,0.008085481,1
23.44410505,1.284918048,0.420673656,0.458478297,555.6111742,linear,"OrderedDict({'C': 555.6111741528297, 'kernel': 'linear'})",0.95625,0.9475,0.93875,0.95375,0.9625,0.95175,0.008085481,1
24.51272368,2.156504479,0.157554245,0.012303515,83718.33136,linear,"OrderedDict({'C': 83718.33135596923, 'kernel': 'linear'})",0.95625,0.9475,0.93875,0.95375,0.9625,0.95175,0.008085481,1
24.16791167,2.284811382,0.189766979,0.057040574,1290.213912,linear,"OrderedDict({'C': 1290.213911796052, 'kernel': 'linear'})",0.95625,0.9475,0.93875,0.95375,0.9625,0.95175,0.008085481,1
25.05649538,0.865706705,0.194140768,0.052573501,79350.07205,linear,"OrderedDict({'C': 79350.07204684037, 'kernel': 'linear'})",0.95625,0.9475,0.93875,0.95375,0.9625,0.95175,0.008085481,1
23.97982812,2.40939899,0.219490051,0.068984261,77929.95209,linear,"OrderedDict({'C': 77929.95208810875, 'kernel': 'linear'})",0.95625,0.9475,0.93875,0.95375,0.9625,0.95175,0.008085481,1
23.95872808,4.196577512,0.753852367,1.149121698,1284.611633,linear,"OrderedDict({'C': 1284.6116330515244, 'kernel': 'linear'})",0.95625,0.9475,0.93875,0.95375,0.9625,0.95175,0.008085481,1
20.02306342,3.539692367,0.190087271,0.078366821,1282.442572,linear,"OrderedDict({'C': 1282.4425715884367, 'kernel': 'linear'})",0.95625,0.9475,0.93875,0.95375,0.9625,0.95175,0.008085481,1
21.10250282,3.17426386,0.206516743,0.073243147,71180.23438,linear,"OrderedDict({'C': 71180.23438083897, 'kernel': 'linear'})",0.95625,0.9475,0.93875,0.95375,0.9625,0.95175,0.008085481,1
21.32614655,2.682871941,0.201156855,0.070637503,70639.8604,linear,"OrderedDict({'C': 70639.86039704112, 'kernel': 'linear'})",0.95625,0.9475,0.93875,0.95375,0.9625,0.95175,0.008085481,1
19.49993439,4.191245661,0.409314394,0.264315149,69101.19648,linear,"OrderedDict({'C': 69101.1964752134, 'kernel': 'linear'})",0.95625,0.9475,0.93875,0.95375,0.9625,0.95175,0.008085481,1
21.35737147,1.92615154,0.202820635,0.034106458,67567.1505,linear,"OrderedDict({'C': 67567.15049981355, 'kernel': 'linear'})",0.95625,0.9475,0.93875,0.95375,0.9625,0.95175,0.008085481,1
21.05210371,0.941290268,0.197001743,0.040186707,66134.70618,linear,"OrderedDict({'C': 66134.70618201993, 'kernel': 'linear'})",0.95625,0.9475,0.93875,0.95375,0.9625,0.95175,0.008085481,1
16.88141236,6.112297074,0.202542353,0.047345209,1273.305671,linear,"OrderedDict({'C': 1273.3056705099875, 'kernel': 'linear'})",0.95625,0.9475,0.93875,0.95375,0.9625,0.95175,0.008085481,1
